Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000.0,27,21,1790,19.9,36,15,41.7,0,0,1,0,14,30,0,0,0.6027770069088026
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,11,5,45.5,2,2,1,0,16,9,0,0,-0.3913086762813364
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993.0,15,11,908,10.1,4,1,25.0,0,0,4,1,14,24,0,1,-0.37809378596688886
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993.0,23,23,1982,22.0,20,5,25.0,0,0,6,0,23,9,0,0,-0.05120602120054259
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003.0,23,19,1812,20.1,61,16,26.2,0,1,5,0,25,24,0,0,0.17919599406221445
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000.0,17,16,1341,14.9,12,4,33.3,0,0,4,1,19,36,0,0,-0.3196935057641431
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999.0,13,10,903,10.0,7,1,14.3,0,0,6,0,19,1,0,0,-0.4196441075328111
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988.0,13,11,973,10.8,3,1,33.3,0,0,2,0,11,1,0,0,-0.6789516024848433
Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998.0,23,12,1277,14.2,39,16,41.0,0,0,2,0,14,0,0,0,0.26677056535608423
Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000.0,21,14,1408,15.6,45,25,55.6,2,2,1,0,22,12,0,0,0.09094841417455328
Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996.0,24,15,1445,16.1,43,13,30.2,0,0,0,0,12,10,0,0,-0.3095689087081066
Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27.0,1999.0,17,17,1321,14.7,8,6,75.0,0,0,6,0,27,1,0,0,0.22349150402724183
