Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,CrdY,CrdR,Fld,Fls,Crs,OG,TklW,Int,2CrdY,Gls_z,Ast_z,SoT/90_z,G/Sh_z,TklW_z,Int_z,Fld_z,performance_index
Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000.0,27,21,1790,19.9,4,3,7,4,0,0,36,15,41.7,1.81,0.75,0.11,0.27,1,0,37,14,30,0,22,13,0,0.5367093744620843,0.7714028061449845,0.7290619302233695,0.14909375682255155,0.5997362512254051,-0.12909958807951064,1.562534517562734,0.6027770069088026
Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,11,5,45.5,1.05,0.48,0.0,0.0,1,0,12,16,9,0,17,13,0,-0.14620154473477542,-0.9359828955496267,0.05336649287514005,-1.0420401052719792,0.06082823671271925,-0.12909958807951064,-0.6000313299213228,-0.3913086762813364
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993.0,15,11,908,10.1,1,0,1,1,0,0,4,1,25.0,0.4,0.1,0.25,1.0,4,1,13,14,24,0,8,9,1,-0.4876570043332053,-0.9359828955496267,-0.8976122708001457,1.6650823085792272,-0.9092061894101152,-0.5677517542323965,-0.5135286960219605,-0.37809378596688886
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993.0,23,23,1982,22.0,1,0,1,1,0,0,20,5,25.0,0.91,0.23,0.05,0.2,6,0,23,23,9,0,22,25,0,-0.4876570043332053,-0.9359828955496267,-0.5722774305954427,-0.5006156225017379,0.5997362512254051,1.186856910379147,0.35149764297166225,-0.05120602120054259
Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003.0,23,19,1812,20.1,4,2,6,4,0,1,61,16,26.2,3.03,0.79,0.07,0.25,5,0,37,25,24,0,11,5,0,0.5367093744620843,0.20227423891344745,0.8291649579786629,-0.28404582939364137,-0.5858613807025037,-1.0064039203852824,1.562534517562734,0.17919599406221445
Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000.0,17,16,1341,14.9,3,0,3,3,0,0,12,4,33.3,0.81,0.27,0.25,0.75,4,1,5,19,36,0,12,5,0,0.19525391486365445,-0.9359828955496267,-0.4721744028401494,1.6650823085792272,-0.4780797777999666,-1.0064039203852824,-1.2055497672168587,-0.3196935057641431
Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999.0,13,10,903,10.0,0,1,1,0,0,0,7,1,14.3,0.7,0.1,0.0,0.0,6,0,27,19,1,0,13,13,0,-0.8291124639316352,-0.36685432831808956,-0.8976122708001457,-1.0420401052719792,-0.3702981748974294,-0.12909958807951064,0.6975081785691114,-0.4196441075328111
Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988.0,13,11,973,10.8,0,1,1,0,0,0,3,1,33.3,0.28,0.09,0.0,0.0,2,0,10,11,1,0,8,15,0,-0.8291124639316352,-0.36685432831808956,-0.922638027738969,-1.0420401052719792,-0.9092061894101152,0.09022649499693232,-0.7730365977200473,-0.6789516024848433
Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998.0,23,12,1277,14.2,5,3,8,5,0,0,39,16,41.0,2.75,1.13,0.13,0.31,2,0,25,14,0,0,7,2,0,0.8781648340605143,0.7714028061449845,1.6800406938986552,0.3656635499306481,-1.0169877923126525,-1.335393044999947,0.5245029107703868,0.26677056535608423
Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000.0,21,14,1408,15.6,6,3,9,4,2,2,45,25,55.6,2.88,1.6,0.09,0.16,1,0,7,22,12,0,2,0,0,1.2196202936589442,0.7714028061449845,2.8562512700233516,-0.06747603628554498,-1.5558958068253381,-1.55471912807639,-1.032544499418134,0.09094841417455328
