Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,27,21,1790,19.9,4,3,7,4,0,0,1,0,0.35,36,15,41.7,1.81,0.75,0.11,0.27,0,0,30,22,13,37,1,0,0,14,0,,,,,,,,,,,,,,
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,2,2,1,0,0,0,2,0,,,,,,,,,,,,,,
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,16,3,492,5.5,2,0,2,2,0,0,0,0,0.37,15,4,26.7,2.74,0.73,0.13,0.50,0,0,25,1,2,3,0,0,0,4,0,,,,,,,,,,,,,,
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26.0,1999,4,0,67,0.7,0,0,0,0,0,0,1,0,0.00,3,1,33.3,4.03,1.34,0.00,0.00,0,0,1,1,0,0,1,0,0,3,0,,,,,,,,,,,,,,
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,11,5,45.5,1.05,0.48,0.00,0.00,2,2,9,17,13,12,1,0,0,16,0,,,,,,,,,,,,,,
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32.0,1993,15,11,908,10.1,1,0,1,1,0,0,4,1,0.10,4,1,25.0,0.40,0.10,0.25,1.00,0,0,24,8,9,13,4,1,1,14,0,,,,,,,,,,,,,,
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,14,9,663,7.4,0,0,0,0,0,0,3,0,0.00,0,0,,0.00,0.00,,,0,0,1,7,9,7,3,0,0,14,0,,,,,,,,,,,,,,
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,17,7,745,8.3,0,2,2,0,0,0,1,0,0.24,3,1,33.3,0.36,0.12,0.00,0.00,0,0,23,17,4,7,1,0,0,13,0,,,,,,,,,,,,,,
9,Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,1,1,1,0,0,0,0,0,,,,,,,,,,,,,,
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,23,23,1982,22.0,1,0,1,1,0,0,6,0,0.05,20,5,25.0,0.91,0.23,0.05,0.20,0,0,9,22,25,23,6,0,0,23,0,,,,,,,,,,,,,,
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,23,19,1812,20.1,4,2,6,4,0,1,5,0,0.30,61,16,26.2,3.03,0.79,0.07,0.25,0,1,24,11,5,37,5,0,0,25,0,,,,,,,,,,,,,,
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,17,16,1341,14.9,3,0,3,3,0,0,4,1,0.20,12,4,33.3,0.81,0.27,0.25,0.75,0,0,36,12,5,5,4,1,0,19,0,,,,,,,,,,,,,,
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,7,2,28.6,1.23,0.35,0.00,0.00,0,0,18,12,1,11,4,0,0,12,0,,,,,,,,,,,,,,
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,13,10,903,10.0,0,1,1,0,0,0,6,0,0.10,7,1,14.3,0.70,0.10,0.00,0.00,0,0,1,13,13,27,6,0,0,19,0,,,,,,,,,,,,,,
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997,5,1,148,1.6,1,0,1,1,0,0,0,0,0.61,5,2,40.0,3.04,1.22,0.20,0.50,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,6,0,0.0,1.03,0.00,0.00,,0,0,0,12,8,4,2,0,0,5,0,,,,,,,,,,,,,,
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23.0,2003,17,5,523,5.8,1,0,1,1,0,0,1,0,0.17,13,5,38.5,2.24,0.86,0.08,0.20,0,0,27,6,3,8,1,0,0,4,0,,,,,,,,,,,,,,
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21.0,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988,13,11,973,10.8,0,1,1,0,0,0,2,0,0.09,3,1,33.3,0.28,0.09,0.00,0.00,0,0,1,8,15,10,2,0,0,11,0,,,,,,,,,,,,,,
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,23,12,1277,14.2,5,3,8,5,0,0,2,0,0.56,39,16,41.0,2.75,1.13,0.13,0.31,0,0,0,7,2,25,2,0,0,14,0,,,,,,,,,,,,,,
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,12,7,573,6.4,1,0,1,1,0,0,1,0,0.16,3,2,66.7,0.47,0.31,0.33,0.50,0,0,1,6,11,5,1,0,0,2,0,,,,,,,,,,,,,,
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000,21,14,1408,15.6,6,3,9,4,2,2,1,0,0.45,45,25,55.6,2.88,1.60,0.09,0.16,2,2,12,2,0,7,1,0,0,22,0,,,,,,,,,,,,,,
